nom,chemin,nb_usages,fichiers_utilisateurs,type,props_principales,candidat_dsfr
ModalMissionTagsManager,components/modal/ModalMissionTagsManager.vue,0,,custom,isOpen | mission,oui
ModalMissionValidate,components/modal/ModalMissionValidate.vue,1,components/custom/SelectMissionState.vue,custom,isOpen | mission,oui
ModalOrganisationChangeStateToInProgress,components/modal/ModalOrganisationChangeStateToInProgress.vue,1,components/messaging/ConversationOrganisationActionAsReferent.vue,custom,isOpen | organisation,oui
ModalOrganisationRefuse,components/modal/ModalOrganisationRefuse.vue,1,components/messaging/ConversationOrganisationActionAsReferent.vue,custom,isOpen | organisation,oui
ModalOrganisationValidate,components/modal/ModalOrganisationValidate.vue,1,components/messaging/ConversationOrganisationActionAsReferent.vue,custom,isOpen | organisation,oui
ModalParticipationCancelByBenevole,components/modal/ModalParticipationCancelByBenevole.vue,0,,custom,participation,oui
ModalParticipationShouldBeDone,components/modal/ModalParticipationShouldBeDone.vue,1,components/messaging/ConversationParticipation.vue,custom,isOpen | participation,oui
ModalProfileRoles,components/modal/ModalProfileRoles.vue,0,,custom,userId | fullName,oui
ModalProfileTags,components/modal/ModalProfileTags.vue,0,,custom,profile | loading,oui
ModalRecommendedMissions,components/modal/ModalRecommendedMissions.vue,0,,custom,user,oui
ModalRemoveResponsableFromOrganisation,components/modal/ModalRemoveResponsableFromOrganisation.vue,1,components/organisation/ResponsableListItem.vue,custom,isOpen | responsable | organisation,oui
ModalResponsableSetMissionsIsActive,components/modal/ModalResponsableSetMissionsIsActive.vue,1,components/mission/ResponsableListItem.vue,custom,isOpen | responsable | profileStats | value,oui
ModalStatisticsFilters,components/modal/ModalStatisticsFilters.vue,1,components/custom/FiltersStatisticsButton.vue,custom,isOpen | filters,oui
ModalTagsManager,components/modal/ModalTagsManager.vue,1,components/tag/SelectTags.vue,custom,,oui
ModalUserBan,components/modal/ModalUserBan.vue,0,,custom,profile | loading,oui
ModalUserDispositifsCEJ,components/modal/ModalUserDispositifsCEJ.vue,1,components/form/SubFormUserDispositifs.vue,custom,isOpen | initialForm,oui
ModalUserDispositifsFT,components/modal/ModalUserDispositifsFT.vue,1,components/form/SubFormUserDispositifs.vue,custom,isOpen | initialForm,oui
ModalUserDispositifsSC,components/modal/ModalUserDispositifsSC.vue,1,components/form/SubFormUserDispositifs.vue,custom,isOpen | initialForm,oui
ModalUserMissingPhoneZip,components/modal/ModalUserMissingPhoneZip.vue,0,,custom,isOpen,oui
ModalUserUnban,components/modal/ModalUserUnban.vue,0,,custom,profile | loading,oui
NotificationListItemFull,components/notification/NotificationListItemFull.vue,1,pages/notifications.vue,custom,notification,non
NotificationListItemTeaser,components/notification/NotificationListItemTeaser.vue,1,components/custom/DropdownUserNotifications.vue,custom,notification,non
NumbersActivityLogsAdminsVsReferents,components/numbers/ActivityLogsAdminsVsReferents.vue,0,,custom,,non
NumbersActivityLogsAdminsVsReferentsCumul,components/numbers/ActivityLogsAdminsVsReferentsCumul.vue,0,,custom,,non
NumbersActivityLogsModerationsStatistics,components/numbers/ActivityLogsModerationsStatistics.vue,0,,custom,,non
NumbersEvolutionsByMonth,components/numbers/EvolutionsByMonth.vue,0,,custom,,non
